state,quantum_counts,classical_counts,quantum_prob,classical_prob
111000,4,92,0.0018696913159152288,0.027777777777777783
000021,126,39,0.04440115888840904,0.013888888888888892
101100,47,69,0.018877367980222205,0.027777777777777783
011001,5,73,0.0014965344832211281,0.027777777777777783
110010,48,86,0.01639153953676836,0.027777777777777783
200001,18,31,0.005638128329865527,0.013888888888888892
000201,11,36,0.005550380576516814,0.013888888888888892
300000,58,10,0.0137349471832883,0.00462962962962963
100200,36,49,0.011447938881907708,0.013888888888888892
000102,1,41,0.0005316784158073781,0.013888888888888892
000012,177,42,0.055424156587092224,0.013888888888888892
001200,6,43,0.002054989000219836,0.013888888888888892
010200,5,43,0.0015928775207946267,0.013888888888888892
100020,15,50,0.007564115715102576,0.013888888888888892
000003,11,14,0.00441844472657425,0.00462962962962963
110001,17,75,0.006549042339001753,0.027777777777777783
100011,55,88,0.01698468022938214,0.027777777777777783
030000,1,21,0.00027320512300371084,0.00462962962962963
100002,27,39,0.009071599170253705,0.013888888888888892
200100,50,37,0.020015597653677917,0.013888888888888892
120000,11,40,0.003899792924667464,0.013888888888888892
002010,60,45,0.02670577263334227,0.013888888888888892
101010,259,78,0.08445613710691831,0.027777777777777783
100101,10,85,0.004580001555472479,0.027777777777777783
100110,110,70,0.035150074974247235,0.027777777777777783
000300,4,12,0.0013878910551228813,0.00462962962962963
010011,117,90,0.03611783322509381,0.027777777777777783
002001,276,35,0.09403397385660202,0.013888888888888892
010020,46,44,0.015816874574864137,0.013888888888888892
001020,75,43,0.024248574502984614,0.013888888888888892
201000,1,46,0.0008682107874974304,0.013888888888888892
101001,39,81,0.01626792527483456,0.027777777777777783
003000,7,12,0.0019091219861956717,0.00462962962962963
110100,33,82,0.011377928534134787,0.027777777777777783
102000,309,44,0.10140639929254625,0.013888888888888892
210000,70,44,0.018445470703256774,0.013888888888888892
001011,147,74,0.04963360795381886,0.027777777777777783
020100,3,31,0.0010583226001020332,0.013888888888888892
020010,5,48,0.003674758423984117,0.013888888888888892
011010,7,73,0.001535245890063337,0.027777777777777783
200010,175,54,0.055993422308044,0.013888888888888892
010110,21,88,0.007631603979697594,0.027777777777777783
000210,9,53,0.003628931180469428,0.013888888888888892
010101,33,89,0.007085214736418498,0.027777777777777783
001110,19,80,0.004503249419558153,0.027777777777777783
002100,17,39,0.006109664354455855,0.013888888888888892
001002,88,44,0.030890984518347115,0.013888888888888892
020001,11,48,0.004917134289114333,0.013888888888888892
010002,19,44,0.0069913743315859304,0.013888888888888892
000111,115,88,0.03445609478767201,0.027777777777777783
000120,60,49,0.022012361973340222,0.013888888888888892
021000,0,33,2.3027577929333043e-05,0.013888888888888892
000030,46,16,0.01368493186315091,0.00462962962962963
012000,5,35,0.0018860882970718291,0.013888888888888892
001101,75,86,0.023690426532038678,0.027777777777777783
011100,0,99,3.349833833264728e-05,0.027777777777777783
