phase_rad,quantum_mean,quantum_std,quantum_theory,classical_mean,classical_std,classical_theory
0.0,0.9296875,0.006075129302732731,1.0,0.975390625,0.0024820830131130536,1.0
0.16110731556870733,0.8833984375,0.004283537538957287,0.9427280128266049,0.96962890625,0.003593431541596504,0.9935251313189564
0.32221463113741466,0.74599609375,0.008704015607483278,0.784032373365578,0.94873046875,0.003731440073152891,0.9742682209735727
0.483321946706122,0.550390625,0.01114051953622942,0.5602683401276616,0.91953125,0.004216217411117755,0.9427280128266049
0.6444292622748293,0.3529296875,0.008621448614977828,0.3226975564787323,0.87802734375,0.00648072657149885,0.8997213817017506
0.8055365778435366,0.1818359375,0.005961032211731192,0.12574462591444957,0.826953125,0.0027724745247223416,0.8463621767547997
0.966643893412244,0.0818359375,0.006755949436104678,0.01452909128697405,0.7650390625,0.006775683108867833,0.784032373365578
1.1277512089809514,0.0833984375,0.004349815908460954,0.014529091286973939,0.7078125,0.012416561117726372,0.7143462807015271
1.2888585245496587,0.1767578125,0.006253051013118016,0.12574462591444935,0.637890625,0.008266819310573558,0.6391087319582264
1.449965840118366,0.3611328125,0.005856118886939433,0.32269755647873205,0.55400390625,0.005264387489040451,0.5602683401276616
1.6110731556870732,0.55048828125,0.014476859734536267,0.5602683401276611,0.47255859375,0.006647801728561526,0.47986702994529257
1.7721804712557807,0.75146484375,0.003881759162959334,0.7840323733655779,0.40654296875,0.009491263136576417,0.39998715311197786
1.933287786824488,0.87890625,0.006336378202151693,0.9427280128266048,0.3310546875,0.0048828125,0.3226975564787323
2.0943951023931953,0.93037109375,0.006613282403647271,1.0,0.26435546875,0.0045344479555640225,0.2500000000000001
2.2555024179619028,0.88056640625,0.0045658866123284994,0.9427280128266051,0.19951171875,0.009690137934692125,0.18377731220231142
2.41660973353061,0.74638671875,0.004730031655590756,0.7840323733655783,0.14306640625,0.007385808750464468,0.12574462591444957
2.5777170490993173,0.54873046875,0.01162232464594675,0.5602683401276618,0.09931640625,0.006540782050640763,0.0774049572281027
2.738824364668025,0.34794921875,0.004207160005573831,0.3226975564787323,0.06298828125,0.00720938625987959,0.04001027817058789
2.899931680236732,0.1865234375,0.004734062360758134,0.12574462591444968,0.03466796875,0.003942701023083271,0.01452909128697405
3.0610389958054394,0.07705078125,0.0028704957923240365,0.014529091286974105,0.02705078125,0.0028738162049926096,0.0016213459328950353
3.2221463113741464,0.08427734375,0.00515454813296744,0.014529091286973828,0.0275390625,0.002857175554360897,0.0016213459328949797
3.383253626942854,0.174609375,0.004946845758560132,0.1257446259144494,0.0375,0.003140221716955767,0.014529091286973939
3.5443609425115614,0.342578125,0.005757579286321748,0.32269755647873194,0.0650390625,0.006451228345669431,0.04001027817058789
3.7054682580802685,0.5556640625,0.013163685779105167,0.560268340127661,0.0974609375,0.004607471137533379,0.07740495722810248
3.866575573648976,0.73662109375,0.010855229087179886,0.7840323733655773,0.14619140625,0.006895665407777238,0.12574462591444935
4.027682889217683,0.880078125,0.004975679376116014,0.9427280128266045,0.19599609375,0.008846384255971299,0.18377731220231114
4.1887902047863905,0.92939453125,0.0033203125000000003,1.0,0.262890625,0.006791147910435043,0.24999999999999978
4.349897520355098,0.8755859375,0.006406726354240907,0.9427280128266051,0.34013671875,0.008830198871451027,0.32269755647873205
4.5110048359238055,0.75166015625,0.00894288142456491,0.7840323733655785,0.39677734375,0.009511337742625739,0.39998715311197774
4.672112151492513,0.55146484375,0.005732679734937176,0.5602683401276616,0.484375,0.0120477894635087,0.4798670299452924
4.83321946706122,0.3466796875,0.006644931967267187,0.3226975564787332,0.56162109375,0.0018885819927552457,0.5602683401276611
4.994326782629927,0.17724609375,0.002709850962013986,0.12574462591444974,0.62763671875,0.00956632570020192,0.639108731958226
5.155434098198635,0.08291015625,0.0030788833536004776,0.01452909128697416,0.70458984375,0.0049506999436080374,0.7143462807015268
5.316541413767342,0.07958984375,0.006737573558851695,0.014529091286973772,0.76884765625,0.008688662663880947,0.7840323733655779
5.47764872933605,0.17763671875,0.004717918878586391,0.12574462591444935,0.83447265625,0.005304092036718855,0.8463621767547996
5.638756044904756,0.35009765625,0.004061842645133871,0.322697556478731,0.8853515625,0.00475817488870306,0.8997213817017503
5.799863360473464,0.545703125,0.008185667808474953,0.5602683401276609,0.91943359375,0.004496431419227085,0.9427280128266048
5.960970676042171,0.74833984375,0.0071669309109018645,0.7840323733655765,0.9509765625,0.002906811731667425,0.9742682209735727
6.122077991610879,0.8826171875,0.009405468068620708,0.9427280128266045,0.96669921875,0.005467005860265002,0.9935251313189564
6.283185307179586,0.92958984375,0.0029845130449093994,1.0,0.97373046875,0.0022354537387225776,1.0
