noise_level,cv_mean,cv_std,test_accuracy,pca_components,explained_variance,time_seconds
0.0,1.0,0.0,1.0,100,0.9999998,6.562572717666626
0.05,1.0,0.0,1.0,100,0.9999998,5.919284820556641
0.1,0.9928571428571429,0.010910894511799631,0.9944444444444445,100,0.9999997,5.903423309326172
0.15,0.9928571428571429,0.010910894511799631,1.0,100,0.99999994,5.632152318954468
0.2,0.9880952380952381,0.015971914124998515,0.9666666666666667,100,0.99999976,5.594468116760254
0.3,0.9857142857142858,0.01579345138264478,0.9888888888888889,100,0.99999994,5.617841958999634
0.4,0.9571428571428571,0.017817416127494944,0.9722222222222222,100,0.99999994,5.784299850463867
0.5,0.9690476190476189,0.02392827528838308,0.9666666666666667,100,1.0000002,5.744701862335205
