state,quantum_counts,classical_counts,quantum_prob,classical_prob
111000,33,121,0.008861478795327993,0.027777777777777783
000021,86,74,0.015605137524780384,0.013888888888888892
101100,173,155,0.03325946507113639,0.027777777777777783
011001,51,133,0.01383569334370409,0.027777777777777783
110010,33,139,0.007338098986258475,0.027777777777777783
200001,19,65,0.0036154718099740556,0.013888888888888892
000201,323,79,0.0636418841453657,0.013888888888888892
300000,3,25,0.0009450083443694719,0.00462962962962963
100200,13,69,0.0028878310485591003,0.013888888888888892
000102,37,84,0.006675889094490322,0.013888888888888892
000012,132,75,0.023840942840903462,0.013888888888888892
001200,52,78,0.01113483584839565,0.013888888888888892
010200,110,73,0.022024554899805815,0.013888888888888892
100020,15,72,0.00243712220035686,0.013888888888888892
000003,228,32,0.0460295289319488,0.00462962962962963
110001,103,139,0.017911937498000845,0.027777777777777783
100011,88,132,0.018608499629442953,0.027777777777777783
030000,41,10,0.009136585774349065,0.00462962962962963
100002,205,78,0.04106511387619535,0.013888888888888892
200100,19,78,0.005929280573118812,0.013888888888888892
120000,29,62,0.006665362830603886,0.013888888888888892
002010,24,69,0.005826526381369155,0.013888888888888892
101010,25,143,0.004983768346799792,0.027777777777777783
100101,14,159,0.002835115046820823,0.027777777777777783
100110,43,123,0.009216980244738764,0.027777777777777783
000300,172,18,0.031019583867498673,0.00462962962962963
010011,67,147,0.01375743021998507,0.027777777777777783
002001,28,68,0.0045562898121666254,0.013888888888888892
010020,86,69,0.019990003538323534,0.013888888888888892
001020,17,53,0.0025524724648703437,0.013888888888888892
201000,73,64,0.01450122588409694,0.013888888888888892
101001,10,155,0.002154158863454229,0.027777777777777783
003000,251,21,0.04831987400002476,0.00462962962962963
110100,3,130,0.00017927090736617244,0.027777777777777783
102000,251,70,0.05038725942701918,0.013888888888888892
210000,5,76,0.0007687341726717721,0.013888888888888892
001011,98,127,0.020299540689613007,0.027777777777777783
020100,1,72,2.8683284343722e-05,0.013888888888888892
020010,121,58,0.02740342422354143,0.013888888888888892
011010,77,119,0.01692071313641249,0.027777777777777783
200010,13,90,0.002296392427214996,0.013888888888888892
010110,102,147,0.017248773439632582,0.027777777777777783
000210,20,70,0.00275059816098746,0.013888888888888892
010101,429,118,0.08635309610234043,0.027777777777777783
001110,174,142,0.034193963782739596,0.027777777777777783
002100,172,78,0.036706200560206154,0.013888888888888892
001002,203,62,0.04042690280503116,0.013888888888888892
020001,110,59,0.022239869394958766,0.013888888888888892
010002,138,89,0.026476868791252554,0.013888888888888892
000111,33,109,0.007668391560870608,0.027777777777777783
000120,50,77,0.008020674889522439,0.013888888888888892
021000,172,76,0.033140445437517124,0.013888888888888892
000030,22,20,0.005940844261496653,0.00462962962962963
012000,50,66,0.009510943190607137,0.013888888888888892
001101,22,143,0.0030655828269065344,0.027777777777777783
011100,131,140,0.026809674790511835,0.027777777777777783
