state,quantum_counts,classical_counts,quantum_prob,classical_prob
111000,50,88,0.011345140051862625,0.027777777777777783
000021,33,36,0.0116672002282392,0.013888888888888892
101100,21,84,0.010807463675248137,0.027777777777777783
011001,21,103,0.006648773053397868,0.027777777777777783
110010,59,79,0.0184478991333173,0.027777777777777783
200001,44,40,0.015836590799112378,0.013888888888888892
000201,72,44,0.0211932665848976,0.013888888888888892
300000,24,13,0.01093247050331553,0.00462962962962963
100200,89,46,0.028979524070797253,0.013888888888888892
000102,62,45,0.02399362344848013,0.013888888888888892
000012,280,35,0.0911913918788339,0.013888888888888892
001200,44,44,0.015749663889290975,0.013888888888888892
010200,36,31,0.010067546502540447,0.013888888888888892
100020,25,44,0.008797841226090963,0.013888888888888892
000003,31,16,0.011741163300722316,0.00462962962962963
110001,6,103,0.0015984711284864875,0.027777777777777783
100011,161,90,0.04691126227250353,0.027777777777777783
030000,5,23,0.0012225633425834476,0.00462962962962963
100002,39,36,0.01699219854794528,0.013888888888888892
200100,15,45,0.0062138201833560665,0.013888888888888892
120000,7,28,0.0019792000871416593,0.013888888888888892
002010,107,36,0.039621297296055305,0.013888888888888892
101010,128,75,0.042496717797344756,0.027777777777777783
100101,16,92,0.0040744177095920885,0.027777777777777783
100110,141,61,0.045617685024402256,0.027777777777777783
000300,36,12,0.013018933641231198,0.00462962962962963
010011,20,103,0.008594547003364877,0.027777777777777783
002001,29,47,0.009160616352355157,0.013888888888888892
010020,9,30,0.0036382393854131447,0.013888888888888892
001020,38,34,0.010646353024464648,0.013888888888888892
201000,88,38,0.028011562159530833,0.013888888888888892
101001,4,89,0.0032512387244411035,0.027777777777777783
003000,99,8,0.03497372779348787,0.00462962962962963
110100,56,79,0.01832612140911516,0.027777777777777783
102000,125,42,0.04858734986544737,0.013888888888888892
210000,0,44,2.0566695228127962e-06,0.013888888888888892
001011,132,51,0.04668905771119138,0.027777777777777783
020100,13,38,0.00470037246257396,0.013888888888888892
020010,28,49,0.007151951935756072,0.013888888888888892
011010,114,71,0.03434342358718413,0.027777777777777783
200010,151,48,0.04530577839083181,0.013888888888888892
010110,17,85,0.010248015895222645,0.027777777777777783
000210,36,47,0.010037016402707497,0.013888888888888892
010101,3,84,0.0013541361112483095,0.027777777777777783
001110,80,108,0.025009954017949254,0.027777777777777783
002100,66,38,0.02241098316676835,0.013888888888888892
001002,16,40,0.004977109172660856,0.013888888888888892
020001,8,39,0.0017730119848943043,0.013888888888888892
010002,23,45,0.007382300521733436,0.013888888888888892
000111,50,93,0.012637083916905783,0.027777777777777783
000120,17,37,0.003444465138889188,0.013888888888888892
021000,11,47,0.0028584750140861572,0.013888888888888892
000030,0,17,0.000419943471208097,0.00462962962962963
012000,15,46,0.00571966777736898,0.013888888888888892
001101,168,80,0.06069509027635918,0.027777777777777783
011100,32,74,0.01050422528052889,0.027777777777777783
