state,quantum_counts,classical_counts,quantum_prob,classical_prob
111000,50,88,0.019259670528831912,0.027777777777777783
000021,17,43,0.008061215253019968,0.013888888888888892
101100,34,91,0.011131140347443821,0.027777777777777783
011001,55,102,0.01833428440983559,0.027777777777777783
110010,74,70,0.02258452017753258,0.027777777777777783
200001,39,40,0.014439304965613258,0.013888888888888892
000201,62,38,0.022512371452233726,0.013888888888888892
300000,0,17,0.00012172775869601718,0.00462962962962963
100200,16,36,0.005068921574322261,0.013888888888888892
000102,137,35,0.03831487447322545,0.013888888888888892
000012,75,56,0.02005874310433537,0.013888888888888892
001200,35,46,0.015379171719665432,0.013888888888888892
010200,1,45,0.0006909011191350478,0.013888888888888892
100020,9,50,0.0034387801204657275,0.013888888888888892
000003,41,14,0.01624548693402117,0.00462962962962963
110001,106,88,0.03632933499986207,0.027777777777777783
100011,10,83,0.002294699179488858,0.027777777777777783
030000,23,16,0.009593826214806195,0.00462962962962963
100002,85,55,0.02764929609472377,0.013888888888888892
200100,27,34,0.009459100791022159,0.013888888888888892
120000,37,50,0.012138189254933608,0.013888888888888892
002010,75,42,0.025123426004639893,0.013888888888888892
101010,65,97,0.01850100053715514,0.027777777777777783
100101,56,71,0.01695828753860198,0.027777777777777783
100110,12,91,0.0025224818971111562,0.027777777777777783
000300,5,8,0.0024619607751483297,0.00462962962962963
010011,67,91,0.02297996366279739,0.027777777777777783
002001,77,37,0.02493175483895784,0.013888888888888892
010020,58,39,0.01922695978674445,0.013888888888888892
001020,172,49,0.05675136479523806,0.013888888888888892
201000,14,35,0.006541490432160078,0.013888888888888892
101001,9,54,0.002861194588847135,0.027777777777777783
003000,97,10,0.029097259329865555,0.00462962962962963
110100,65,73,0.019327336291024243,0.027777777777777783
102000,36,37,0.01158786670655272,0.013888888888888892
210000,11,51,0.00355221638234562,0.013888888888888892
001011,34,78,0.012929621749435733,0.027777777777777783
020100,45,44,0.013218892866035096,0.013888888888888892
020010,17,41,0.005726823253072537,0.013888888888888892
011010,191,87,0.0698132780616026,0.027777777777777783
200010,25,49,0.008892336990241563,0.013888888888888892
010110,15,81,0.005152259809862145,0.027777777777777783
000210,35,43,0.011058880422215978,0.013888888888888892
010101,31,84,0.010798285565891939,0.027777777777777783
001110,9,74,0.002793270137005602,0.027777777777777783
002100,107,34,0.038126349155674207,0.013888888888888892
001002,19,39,0.008072257840338645,0.013888888888888892
020001,120,42,0.03695474282722084,0.013888888888888892
010002,115,34,0.03779429141387597,0.013888888888888892
000111,79,96,0.02711066970116465,0.027777777777777783
000120,12,44,0.0036631674532719596,0.013888888888888892
021000,45,32,0.018068171991802724,0.013888888888888892
000030,107,12,0.035606601048481505,0.00462962962962963
012000,92,38,0.03054521537687514,0.013888888888888892
001101,48,93,0.015635669392351514,0.027777777777777783
011100,102,73,0.03250909090317607,0.027777777777777783
