state,quantum_counts,classical_counts,quantum_prob,classical_prob
111000,83,80,0.02816241179113485,0.027777777777777783
000021,98,37,0.032846005466423585,0.013888888888888892
101100,74,72,0.02071621709434675,0.027777777777777783
011001,18,83,0.006962921033629594,0.027777777777777783
110010,154,90,0.049652830842776045,0.027777777777777783
200001,102,41,0.036779283809000515,0.013888888888888892
000201,8,46,0.0030540679644062425,0.013888888888888892
300000,97,19,0.03239211777266535,0.00462962962962963
100200,2,46,0.0012041890778382884,0.013888888888888892
000102,52,37,0.014072639303108196,0.013888888888888892
000012,125,46,0.043309300740515574,0.013888888888888892
001200,30,47,0.010084349549188982,0.013888888888888892
010200,31,35,0.009476521554283579,0.013888888888888892
100020,96,42,0.03092437583483093,0.013888888888888892
000003,48,17,0.016198770142013808,0.00462962962962963
110001,69,91,0.021611274313339455,0.027777777777777783
100011,140,78,0.03972286074608865,0.027777777777777783
030000,40,14,0.010673919194852057,0.00462962962962963
100002,87,35,0.030373529215294598,0.013888888888888892
200100,98,37,0.03839226219068867,0.013888888888888892
120000,5,40,0.004232217555946865,0.013888888888888892
002010,1,38,0.0011690041912629757,0.013888888888888892
101010,10,105,0.001971159528340481,0.027777777777777783
100101,43,87,0.014654247723166739,0.027777777777777783
100110,44,83,0.017897203917503633,0.027777777777777783
000300,6,13,0.0021081915126030964,0.00462962962962963
010011,2,94,0.0016906515305805806,0.027777777777777783
002001,61,44,0.01903294723663046,0.013888888888888892
010020,91,37,0.025356221129405228,0.013888888888888892
001020,29,39,0.009330876402170113,0.013888888888888892
201000,114,32,0.033476738392997425,0.013888888888888892
101001,89,98,0.030370998787598632,0.027777777777777783
003000,8,13,0.004234313131226073,0.00462962962962963
110100,6,79,0.0011432178715611258,0.027777777777777783
102000,46,50,0.015524482993670458,0.013888888888888892
210000,176,41,0.06080826104862478,0.013888888888888892
001011,83,100,0.030889959483238406,0.027777777777777783
020100,43,32,0.01475549772975133,0.013888888888888892
020010,130,32,0.040076517161574746,0.013888888888888892
011010,24,71,0.010346410273173652,0.027777777777777783
200010,1,42,0.0007016177322681066,0.013888888888888892
010110,101,87,0.03192393039973726,0.027777777777777783
000210,55,48,0.016554331626347382,0.013888888888888892
010101,11,87,0.0033892459126639535,0.027777777777777783
001110,28,77,0.007448397987487735,0.027777777777777783
002100,42,52,0.01435634678815026,0.013888888888888892
001002,12,36,0.004094151927481011,0.013888888888888892
020001,4,37,0.002576101182144189,0.013888888888888892
010002,6,38,0.003098083825094801,0.013888888888888892
000111,76,77,0.02945012569924757,0.027777777777777783
000120,15,41,0.0053500405781217245,0.013888888888888892
021000,39,42,0.012675459840858615,0.013888888888888892
000030,49,15,0.01598757553845016,0.00462962962962963
012000,27,33,0.013197488071789509,0.013888888888888892
001101,14,84,0.003611791327634508,0.027777777777777783
011100,57,83,0.019906346325070705,0.027777777777777783
