state,prob,counts
030000,0.1125,225
003000,0.0745,149
020100,0.0635,127
002001,0.0505,101
021000,0.0505,101
010020,0.0475,95
001011,0.0455,91
111000,0.0355,71
011010,0.035,70
001101,0.0325,65
002010,0.029,58
110010,0.0285,57
100101,0.028,56
010110,0.0255,51
000102,0.0255,51
