state,prob,counts
00010200,0.0615,123
00000030,0.0535,107
00000210,0.0485,97
00001020,0.0445,89
01000200,0.0425,85
00000021,0.03,60
00002100,0.0265,53
00020100,0.0245,49
00001110,0.0225,45
02010000,0.022,44
00002010,0.0205,41
00001200,0.0195,39
01010010,0.0185,37
10001100,0.0175,35
02000001,0.017,34
