state,prob,counts
0101,0.3205,641
0011,0.171,342
1100,0.16,320
0002,0.091,182
2000,0.061,122
0200,0.055,110
1001,0.048,96
0020,0.041,82
1010,0.028,56
0110,0.0245,49
